 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,22.000,22,22,321.386,146.551,321.443,146.608,9,0,4,corner
2,0.000,34.000,34,34,1038.518,135.717,1038.575,135.660,9,0,4,corner
3,0.000,74.000,74,74,1049.694,777.121,1049.866,777.178,9,0,4,corner
4,0.000,10.000,10,10,330.168,786.929,330.339,787.100,9,0,4,corner
5,2457.361,30.664,0,85,374.818,622.016,375.162,621.024,0,0,0,star
6,2280.363,32.208,0,88,351.723,551.705,352.485,551.020,0,0,0,star
7,849.166,32.813,0,130,1012.401,766.913,1011.311,766.327,0,0,0,star
8,1257.361,30.682,0,84,613.291,560.943,613.276,560.598,0,0,0,star
9,1358.385,34.807,0,131,576.340,415.704,576.164,415.331,0,0,0,star
10,1505.414,43.633,2,96,703.788,371.567,703.690,371.527,0,0,0,star
11,1074.159,29.719,0,86,1016.849,339.748,1016.633,339.537,0,0,0,star
