 PMT #,X,Y
1,382.870151,189.6764634
2,424.1422572,188.4622203
3,465.0282085,188.7213506
4,508.2151388,187.6367132
5,549.6616183,187.4091252
6,591.5363725,185.8743574
7,633.5515493,185.1215087
8,675.0407999,184.9853855
9,716.4011949,184.2863115
10,758.7773787,183.0451705
11,799.8785553,184.2751178
12,841.7089856,183.1321212
13,884.1898948,182.2189345
14,925.9835222,183.318491
15,967.1603819,181.5519802
16,1008.81614,181.0053499
32,988.4640531,217.612093
48,1010.02521,252.5335612
64,989.3791517,290.0750051
80,1011.00789,326.4624489
96,990.2315814,362.3402799
112,1011.785978,398.6884878
128,990.3806871,434.5071111
144,1013.213052,470.8965479
160,991.6437858,508.7123263
176,1013.770746,544.1498862
192,992.8963211,581.2364497
208,1013.723552,615.6319497
224,993.4341557,653.0892774
240,1014.056281,689.268869
256,993.4656803,726.1310875
255,952.541796,726.2463128
254,910.6837777,727.570644
253,869.2318581,727.6568059
252,826.7166953,728.5001652
251,785.6901384,727.9686757
250,744.618504,729.650609
249,702.3681125,729.0745631
248,661.5490098,729.2485385
247,617.485016,731.1462007
246,576.7911809,731.7453239
245,534.8268986,731.4436549
244,493.2397078,731.7795916
243,451.604179,731.5230915
242,411.0901221,733.6371094
241,368.8172587,732.9473663
225,390.0373453,696.5756162
209,367.3187586,660.3624647
193,387.6872782,623.5592885
177,366.5975613,588.7712885
161,386.165433,551.5611616
145,365.0818922,516.7798729
129,385.7702499,479.8777213
113,364.8993992,442.7234253
97,385.3340139,405.0943406
81,363.3067265,370.6573512
65,384.6595948,332.7963404
49,362.6493813,298.6018898
33,382.897996,261.1999248
17,362.3055503,225.331555
136,678.3002861,475.3150694
137,719.5394382,474.6448792
120,656.5682981,439.4445623
