 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,62.000,62,62,324.734,130.890,324.904,130.947,20,0,4,corner
2,0.000,30.000,30,30,1039.082,129.418,1039.252,129.588,20,0,4,corner
3,0.000,20.000,20,20,1043.272,767.451,1043.328,767.508,20,0,4,corner
4,0.000,15.000,15,15,326.773,768.584,326.942,768.527,20,0,4,corner
5,1839.894,44.163,0,124,621.445,612.783,621.505,612.691,0,0,0,star
6,1572.321,47.660,0,120,783.473,516.484,783.379,516.278,0,0,0,star
7,1626.897,51.412,0,113,676.304,448.718,676.078,448.811,0,0,0,star
8,1204.596,39.026,0,116,929.196,591.723,929.006,591.324,0,0,0,star
9,2081.275,44.578,0,105,908.305,684.966,907.640,684.237,0,0,0,star
10,1330.594,41.632,0,125,928.177,749.675,927.521,749.761,0,0,0,star
