 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,15.000,15,15,325.414,132.136,325.584,132.306,13,0,4,corner
2,0.000,59.000,59,59,1038.743,128.399,1038.913,128.569,13,0,4,corner
3,0.000,16.000,16,16,1042.140,767.338,1042.309,767.508,13,0,4,corner
4,0.000,24.000,24,24,327.452,768.697,327.622,768.867,13,0,4,corner
5,1602.898,66.964,2,149,702.799,515.635,702.541,515.660,0,0,0,star
6,1653.320,64.680,2,136,866.015,427.828,865.780,427.811,0,0,0,star
7,1651.820,71.230,0,134,745.259,366.176,745.310,366.147,0,0,0,star
8,2261.041,61.387,0,122,981.676,597.498,981.130,597.222,0,0,0,star
9,2093.967,57.168,0,125,998.321,671.209,997.807,670.126,0,0,0,star
10,1731.203,49.108,0,145,839.690,734.389,839.321,734.028,0,0,0,star
