PMT#,X,Y
17,568.324,388.943
18,747.926,383.551
19,922.888,382.274
20,1099.47,387.874
21,1281.133,384.626
22,1456.984,384.295
23,1640.595,383.755
24,1812.622,386.027
25,1992.946,384.755
26,2172.121,383.665
27,2354.994,383.996
28,2527.323,387.569
29,2701.604,385.041
30,2881.699,388.377
31,3062.56,387.443
32,3247.23,385.921
48,3330.515,541.099
64,3237.973,692.655
80,3325.508,850.805
96,3236.107,1001.091
112,3331.513,1159.084
128,3233.103,1306.596
144,3326.663,1463.887
160,3234.232,1619.018
176,3326.822,1774.22
192,3240.25,1926.006
208,3324.666,2079.891
224,3233.795,2233.812
240,3333.631,2396.039
239,3144.738,2388.933
238,2973.467,2396.458
237,2792.881,2389.219
236,2615.836,2387.798
235,2437.345,2392.063
234,2264.262,2395.441
233,2086.258,2393.896
232,1905.408,2394.089
231,1731.15,2389.51
230,1545.502,2396.189
229,1371.94,2396.667
228,1197.184,2394.96
227,1016.418,2398.511
226,838.742,2400.791
225,664.591,2388.508
209,571.344,2242.548
193,660.508,2083.121
177,574.226,1927.877
161,664.699,1776.995
145,569.793,1628.007
129,663.561,1465.099
113,572.821,1310.621
97,666.134,1161.195
81,566.145,1001.411
65,656.429,852.432
49,572.143,697.221
33,654.145,542.026
136,1909.112,1464.49
137,2088.877,1466.128
120,1814.936,1309.849
,,
,x,y
1,0,0
2,0,0
3,0,0
4,0,0
