 PMT #,X,Y
17,484.648,474.57
18,663.858,463.429
19,837.735,448.583
20,1015.257,437.772
21,1192.812,428.813
22,1371.08,420.156
23,1546.114,415.25
24,1721.874,401.953
25,1905.433,388.573
26,2081.674,385.488
27,2255.123,373.564
28,2430.268,362.894
29,2607.831,355.161
30,2782.062,344.855
31,2959.237,332.988
32,3137.965,328.771
48,3234.186,475.499
64,3156.848,633.637
80,3253.49,780.765
96,3168.617,944.84
112,3266.577,1084.251
128,3187.963,1247.862
144,3283.032,1397.141
160,3200.219,1553.084
176,3298.42,1698.193
192,3221.461,1861.24
208,3318.333,2007.335
224,3237.543,2161.489
240,3335.096,2308.53
239,3154.753,2323.085
238,2979.279,2334.212
237,2804.074,2340.402
236,2627.647,2351.181
235,2450.665,2358.48
234,2273.067,2369.386
233,2100.033,2384.402
232,1920.306,2389.928
231,1743.296,2400.298
230,1568.255,2404.391
229,1395.041,2415.475
228,1214.222,2426.411
227,1039.174,2435.424
226,862.537,2444.073
225,684.603,2455.615
209,594.997,2303.116
193,668.118,2150.958
177,572.597,1993.014
161,649.858,1837.291
145,554.638,1691.108
129,633.874,1536.585
113,538.959,1389.509
97,615.579,1224.954
81,521.194,1081.138
65,605.058,924.141
49,505.802,777.719
33,587.159,617.007
136,1872.045,1467.569
137,2049.986,1462.287
120,1778.086,1319.389
1,0,0
2,0,0
3,0,0
4,0,0
