 pmt #,X,Y
17,605.609,400.318
18,779.522,400.842
19,957.31,397.769
20,1135.682,396.148
21,1312.998,398.929
22,1490.77,394.59
23,1665.593,393.592
24,1846.246,391.405
25,2025.755,390.866
26,2204.144,386.902
27,2380.244,384.529
28,2560.005,386.597
29,2736.18,382.711
30,2912.746,382.102
31,3088.396,379.171
32,3263.577,380.069
48,3357.025,529.383
64,3266.742,684.969
80,3360.886,835.14
96,3266.014,991.633
112,3359.153,1149.702
128,3266.533,1301.088
144,3363.103,1458.837
160,3274.179,1612.096
176,3361.693,1763.701
192,3274.964,1919.148
208,3358.228,2070.39
224,3270.667,2225.257
240,3361.67,2376.801
239,3185.71,2379.224
238,3009.755,2382.891
237,2833.088,2381.948
236,2657.869,2386.901
235,2481.477,2382.232
234,2303.893,2387.761
233,2128.073,2389.597
232,1953.012,2388.074
231,1773.869,2388.546
230,1598.649,2394.955
229,1421.157,2394.746
228,1244.753,2399.614
227,1070.113,2395.955
226,892.769,2394.549
225,718.793,2397.876
209,625.467,2243.666
193,713.49,2092.557
177,619.53,1934.287
161,707.801,1784.555
145,616.951,1627.053
129,707.542,1479.106
113,613.465,1320.198
97,700.894,1170.728
81,611.062,1012.395
65,700.411,863.439
49,607.782,704.974
33,697.278,559.288
136,1942.257,1469.204
137,2118.651,1466.328
120,1857.054,1309.638
,,
,x,y
1,0,0
2,0,0
3,0,0
4,0,0
