PMT #,X,Y
17,608.225,400.739
18,780.662,401.565
19,958.956,398.568
20,1134.564,394.862
21,1315.562,396.779
22,1489.759,393.997
23,1845.893,389.539
24,2025.119,389.132
25,2204.196,386.329
26,2382.176,381.851
27,2561.33,383.389
28,2735.216,381.03
29,2909.882,381.719
30,3087.839,378.353
31,3264.969,381.523
32,3274.598,380.769
48,3357.552,525.59
64,3264.748,683.171
80,3360.184,833.285
96,3266.144,991.962
112,3356.572,1148.724
128,3267.034,1300.124
144,3361.939,1455.592
160,3273.329,1609.305
176,3361.695,1763.743
192,3275.056,1916.354
208,3362.577,2072.384
224,3270.272,2222.625
240,3361.625,2376.194
239,3186.224,2379.997
238,3010.583,2381.57
237,2834.713,2377.266
236,2658.928,2385.308
235,2482.343,2381.066
234,2306.178,2384.562
233,2128.993,2386.167
232,1952.193,2387.519
231,1776.859,2386.072
230,1600.804,2390.952
229,1422.936,2391.171
228,1247,2398.661
227,1069.429,2392.223
226,894.712,2391.77
225,719.375,2395.24
209,628.03,2245.328
193,715.294,2089.542
177,622.963,1933.772
161,709.561,1783.582
145,620.411,1628.033
129,710.778,1476.128
113,617.426,1319.091
97,703.418,1170.64
81,615.665,1011.377
65,703.246,862.482
49,610.366,704.166
33,699.711,558.364
136,1942.405,1468.1
137,2121.717,1464.923
120,1855.723,1309.681
1,0,0
2,0,0
3,0,0
4,0,0
