Pmt#,X,Y
17,561.461,395.797
18,739.227,392.269
19,920.979,387.248
20,1099.02,383.223
21,1273.009,381.767
22,1450.897,376.134
23,1631.758,373.189
24,1812.798,370.966
25,1985.039,366.64
26,2167.989,365.753
27,2343.211,361.429
28,2522.912,358.497
29,2700.142,354.131
30,2880.575,352.882
31,3056.656,347.777
32,3230.251,345.605
48,3327.074,502.55
64,3237.258,652.292
80,3327.986,803.948
96,3244.432,959.122
112,3333.168,1114.465
128,3245.705,1269.412
144,3341.123,1424.555
160,3257.314,1580.405
176,3345.283,1727.612
192,3257.954,1889.243
208,3347.83,2035.917
224,3265.293,2196.581
240,3360.339,2346.085
239,3176.365,2352.96
238,3000.178,2354.562
237,2825.407,2361.325
236,2648.914,2365.348
235,2469.961,2365.344
234,2288.9,2371.607
233,2109.757,2372.82
232,1934.588,2379.163
231,1757.038,2382.279
230,1577.811,2385.414
229,1398.341,2387.953
228,1218.088,2390.296
227,1043.706,2396.802
226,866.443,2394.642
225,687.67,2397.222
209,599.155,2244.794
193,685.482,2090.094
177,584.795,1933.283
161,677.199,1783.083
145,581.039,1626.171
129,673.425,1475.924
113,579.553,1319.294
97,661.288,1163.364
81,574.25,1009.321
65,658.378,853.246
49,567.218,706.57
33,655.885,544.215
136,1921.21,1453.37
137,2097.603,1446.818
120,1827.341,1295.78
,,
,x,y
1,0,0
2,0,0
3,0,0
4,0,0
