 PMT #,X,Y
1,386.9395493,191.0123102
2,428.1438245,189.9665918
3,470.57779,190.7480461
4,511.1520934,189.208134
5,552.8497595,188.3273627
6,594.6061686,189.2787466
7,637.291113,188.5804684
8,678.6492474,188.4292677
9,721.5862271,188.719067
10,763.086277,188.7016304
11,804.7029361,188.8122536
12,846.8603136,188.1714472
13,887.9583776,188.4598874
14,930.098931,186.2397956
15,971.3660584,187.7771056
16,1013.599137,186.9587358
32,992.6030993,222.8901796
48,1012.575052,259.1562043
64,993.0577719,295.3399228
80,1014.576911,331.7646236
96,992.7666239,367.9715673
112,1014.352725,403.6545181
128,992.9209373,441.7201874
144,1014.779513,476.8398141
160,993.9893987,513.0982861
176,1015.700348,547.7353917
192,994.406448,586.6993252
208,1015.360735,621.3390469
224,995.4234552,657.6642689
240,1015.969059,694.209695
256,994.8687932,731.4684875
255,953.865025,730.965917
254,911.9237638,730.6439276
253,870.0002384,730.8515966
252,828.586097,731.923322
251,787.3866104,732.3127024
250,745.3488668,732.0867939
249,703.8553028,731.9215791
248,661.664619,732.5854982
247,618.9313295,734.2928152
246,578.4748924,734.6885125
245,537.7411805,733.89953
244,494.8467784,733.7542236
243,453.6501193,732.7214172
242,411.8836891,735.0634808
241,370.2763786,735.0100125
225,391.8733596,698.4388293
209,369.4234841,661.8587904
193,390.7325849,624.9467515
177,368.798808,588.5217971
161,389.6222009,552.7955753
145,368.4426354,517.2746703
129,388.6495177,480.5377617
113,366.7527867,443.2797897
97,388.2139684,406.9430501
81,365.9036,371.6043318
65,387.6874261,333.9898985
49,365.530695,298.5650921
33,387.1678662,263.8095604
17,365.6702197,226.6217997
136,680.8027723,478.0123565
137,723.6457097,478.7271981
120,659.8495132,441.6724022
