 PMT #,X,Y
1,394.7146556,190.7879848
2,435.6392337,189.8582734
3,478.3582697,190.8133334
4,518.6337666,189.3620269
5,560.5455948,188.6252099
6,602.3076025,189.8577593
7,645.114311,189.588879
8,686.4764489,189.2570551
9,729.0677841,189.9486854
10,770.763489,189.9194636
11,812.375303,190.5374566
12,854.6348671,189.6236044
13,895.6651706,190.3706221
14,937.9412663,188.1999176
15,978.9312704,189.9038403
16,1021.274324,189.4109389
32,999.8692408,225.2637875
48,1019.969123,261.8403264
64,1000.262611,297.4739109
80,1021.630951,334.2689287
96,999.6849133,370.4774394
112,1021.060433,406.0922141
128,999.4778499,443.8953868
144,1021.256025,479.3734115
160,1000.135146,515.6956053
176,1021.673423,550.452739
192,1000.359237,588.9621338
208,1021.074595,623.7113907
224,1000.859192,660.2111796
240,1021.166144,696.7415987
256,999.6247126,733.9354123
255,958.8906064,733.6065461
254,917.3198945,732.9860179
253,875.1825136,732.5741728
252,833.9612806,733.1241517
251,792.319875,733.5380989
250,750.4147687,733.1445108
249,708.7713349,732.7964685
248,666.7511371,733.3115284
247,623.9866434,734.5156342
246,583.3637238,734.9347258
245,542.8923465,733.9278172
244,499.88405,733.7620919
243,458.2507958,732.7138418
242,416.8281508,734.6866061
241,375.2459108,734.465018
225,397.2373848,697.9452115
209,375.0071607,661.4705952
193,396.3715044,624.3984366
177,374.6940868,588.0743696
161,395.9130079,552.3945421
145,374.6958086,516.8695385
129,395.1630254,480.1351757
113,373.469812,442.5201508
97,395.0369761,406.4707106
81,372.6846148,371.1719711
65,394.6988564,333.6226364
49,372.711069,298.1719357
33,394.4794866,263.2905061
17,373.1934317,226.0848792
136,687.1128997,479.151408
137,730.0201997,480.0851721
120,666.3595384,442.3854466
