0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.376471	5.687586	41.372248	5.682518	0.003835	21	0.040541	corner
2	0	13.379425	6.041899	13.385338	6.047389	0.005296	29	0.040541	corner
3	0	13.696153	30.735262	13.696153	30.736951	0.009131	50	0.040541	corner
4	0	41.676306	30.531992	41.683063	30.534246	0.008583	47	0.040541	corner
5	0	0	0	27.534200	18.250276	0	0	0	center
6	6.330360	17.594861	23.703061	17.600891	23.698124	387.580025	2122324	0	star
7	6.330360	26.743648	13.743451	26.729737	13.749623	458.686998	2511694	0	star
8	6.330360	33.581589	11.500174	33.596092	11.523175	427.682590	2341919	0	star
9	6.330360	34.230248	13.040738	34.207148	13.023454	411.663113	2254199	0	star
10	6.330360	29.473419	20.892208	29.467841	20.867905	364.461539	1995731	0	star
11	6.330360	30.541003	25.230111	30.549544	25.176316	301.626548	1651657.000000	0	star
12	6.330360	22.338176	21.270592	22.333741	21.263208	348.880169	1910410	0	star
13	6.330360	23.000348	18.608390	23.012502	18.577645	368.348800	2017017	0	star
14	6.330360	17.581347	15.919160	17.570553	15.911555	341.416283	1869539	0	star
15	6.330360	15.135364	14.338055	15.145783	14.318994	338.840786	1855436	0	star
16	6.330360	23.432787	9.054191	23.435095	9.065010	352.811625	1931938	0	star
17	6.330360	31.446422	10.905570	31.430538	10.911586	365.405322	2000899	0	star
18	6.330360	33.041040	20.486796	33.035407	20.461103	342.441515	1875153	0	star
19	6.330360	40.878997	13.959671	40.702249	13.967399	303.656923	1662775	0	star
