 ,Label,Area,X,Y,XM,YM,IntDen,RawIntDen,Slice
1,corner,0,1403.661138,933.682563,1403.893532,933.527614,8.209076,38,49.267576
2,corner,0,476.582463,929.054025,476.640562,928.879730,8.425104,39,49.267576
3,corner,0,477.570139,177.781584,477.570139,177.781584,17.714321,82,49.267576
4,corner,0,1409.703388,180.570315,1409.935782,180.570315,2.376311,11,49.267576
5,center,0,0,0,942.010004,555.189811,0,0,0
6,star,7488.405303,946.774085,474.084225,946.911717,472.051079,987930.941411,4573155,0
7,star,7488.405303,824.069933,1016.957142,824.299639,1011.458838,543684.494034,2516728,0
8,star,7488.405303,584.703878,998.365604,585.002436,997.077150,577573.286922,2673600,0
9,star,7488.405303,811.520644,252.380132,811.613522,252.160325,989890.102145,4582224,0
10,star,7488.405303,1271.661216,706.478453,1271.444556,705.975026,797373.666218,3691061,0
11,star,7488.405303,1229.830255,838.943163,1229.653070,838.369952,721396.077889,3339359,0
12,star,7488.405303,1379.956926,566.112340,1379.642194,571.011804,699666.654401,3238773,0
