0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	1403.661138	933.682563	1403.893532	933.527614	8.209076	38	49.267576	corner
2	0	476.582463	929.054025	476.640562	928.879730	8.425104	39	49.267576	corner
3	0	477.570139	177.781584	477.570139	177.781584	17.714321	82	49.267576	corner
4	0	1409.703388	180.570315	1409.935782	180.570315	2.376311	11	49.267576	corner
5	0	0	0	942.010004	555.189811	0	0	0	center
6	7488.405303	927.252970	451.774379	927.411434	451.547489	1029185.867579	4764125	0	star
7	7488.405303	810.126279	997.436027	810.296754	996.640509	629077.244154	2912013	0	star
8	7488.405303	573.548955	979.309277	573.868326	978.575509	594851.447104	2753581.000000	0	star
9	7488.405303	791.999529	230.070286	792.098272	229.840637	994909.735933	4605460	0	star
10	7488.405303	1206.126044	815.238952	1205.990066	814.711812	746281.891000	3454556	0	star
