 PMT #,X,Y
1,390.5211412,190.2245425
2,431.5339023,189.4447573
3,474.0157833,190.0457679
4,514.5589106,188.6509508
5,556.2198056,188.1715353
6,598.0794683,189.2766234
7,640.7090782,189.0376516
8,682.2365154,188.547817
9,724.9297486,189.0153241
10,766.4836224,188.8706023
11,807.8790491,189.3285319
12,850.5096449,188.6843522
13,891.2724201,189.2481727
14,933.7281251,187.0062464
15,974.8032982,188.836486
16,1016.928327,188.1587923
32,995.4394587,224.1385002
48,1015.62569,260.4798454
64,996.0756242,296.4254757
80,1017.328317,332.929254
96,995.2769728,369.210578
112,1017.11145,404.7030358
128,995.4213108,442.6283354
144,1017.23251,478.1238601
160,996.3297616,514.3162017
176,1017.696912,549.1564798
192,996.5712335,587.5201703
208,1017.146605,622.3582865
224,996.9507934,658.978519
240,1017.327905,695.619491
256,995.9050116,732.4810263
255,955.1465955,732.0389242
254,913.4087568,731.4190579
253,871.567059,731.3069875
252,830.1981147,732.010639
251,788.7949838,732.1305193
250,746.729962,731.843896
249,705.2357607,731.4527129
248,663.1223903,732.3517024
247,620.2080479,733.6826532
246,579.9266038,734.1423223
245,539.5062159,733.099544
244,496.2687715,732.8786215
243,454.751799,731.8649664
242,413.5246329,734.0016427
241,371.7233822,733.6574279
225,393.5136802,697.4373573
209,371.2145934,660.7882727
193,392.9140745,623.7854415
177,371.0041568,587.4681316
161,392.0027153,551.7168956
145,371.1006639,516.4561808
129,391.2080778,479.5392898
113,369.5223891,442.1301205
97,391.0514018,405.8358247
81,368.7199911,370.6794409
65,390.7952116,333.1947505
49,368.6362517,297.7259512
33,390.2933595,262.8562787
17,368.9928749,225.6462186
136,683.2181634,477.9889058
137,726.032062,479.0929799
120,662.4387599,441.5788881
