0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.359295	5.379594	41.361551	5.377340	0.003477	19	0.027056	corner
2	0	13.352882	5.773031	13.358800	5.769649	0.003660	20	0.027056	corner
3	0	13.733072	30.498648	13.737581	30.498648	0.007503	41	0.027056	corner
4	0	41.674948	30.108595	41.672692	30.106339	0.003477	19	0.027056	corner
5	0	0	0	27.532656	17.937994	0	0	0	center
6	6.343652	26.974630	12.486251	26.975880	12.488366	404.054633	2207900	0	star
7	6.343652	24.174355	20.454183	24.177007	20.420167	384.265307	2099764	0	star
8	6.343652	26.325291	23.146235	26.331276	23.129293	340.235815	1859171	0	star
9	6.343652	32.751043	23.633239	32.768958	23.615000	337.636974	1844970	0	star
10	6.343652	38.148675	26.447042	38.155807	26.406501	297.694877	1626712	0	star
11	6.343652	36.958220	16.652843	36.957088	16.641907	379.474810	2073587	0	star
12	6.343652	20.697685	24.999557	20.707590	24.973020	304.851434	1665818	0	star
