 ,Label,Area,X,Y,XM,YM,IntDen,RawIntDen,Slice
1,corner,0,1403.661138,933.682563,1403.893532,933.527614,8.209076,38,49.267576
2,corner,0,476.582463,929.054025,476.640562,928.879730,8.425104,39,49.267576
3,corner,0,477.570139,177.781584,477.570139,177.781584,17.714321,82,49.267576
4,corner,0,1409.703388,180.570315,1409.935782,180.570315,2.376311,11,49.267576
5,center,0,0,0,942.010004,555.189811,0,0,0
6,star,7488.405303,846.379779,356.492746,846.340898,356.006251,1009070.175559,4671009,0
7,star,7488.405303,733.436184,897.506509,733.613341,896.942823,705961.503296,3267912,0
8,star,7488.405303,499.647590,880.774124,500.113309,880.218370,628491.375380,2909301,0
9,star,7488.405303,1125.252852,699.506627,1125.090193,699.112472,833713.948357,3859281,0
10,star,7488.405303,1278.168254,426.675803,1277.904685,426.569308,890267.567311,4121069,0
