0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	1403.661138	933.682563	1403.893532	933.527614	8.209076	38	49.267576	corner
2	0	476.582463	929.054025	476.640562	928.879730	8.425104	39	49.267576	corner
3	0	477.570139	177.781584	477.570139	177.781584	17.714321	82	49.267576	corner
4	0	1409.703388	180.570315	1409.935782	180.570315	2.376311	11	49.267576	corner
5	0	0	0	942.010004	555.189811	0	0	0	center
6	7488.405303	691.605223	175.690036	691.666759	175.476179	997685.051618	4618307	0	star
7	7488.405303	596.788378	723.210838	596.995460	722.837527	791108.845257	3662061	0	star
8	7488.405303	745.985472	901.689605	746.091370	901.037916	686955.764728	3179934	0	star
9	7488.405303	814.309375	815.238952	814.442050	814.658635	770708.859983	3567629	0	star
10	7488.405303	859.393855	862.647375	859.773718	862.248100	729567.780733	3377186	0	star
