date	site	mir	width	height	x_offset	y_offset	CNH x_offset	CNH y_offset	GNV x_offset	GNV y_offset	MAL x_offset	MAL y_offset	MTC x_offset	MTC y_offset	H_T x_offset	H_T y_offset	MEAN x_offset	STDEV x_offset	MEAN y_offset	STDEV y_offset	Comments
20110606	0	1	28	24.75	0	0															
20110606	0	2	28	24.75	0	0															
20110606	0	3	28	24.75	0	0															
20110606	0	4	28	24.75	0	0															
20110606	0	5	28	24.75	0	0															
20110606	0	6	28	24.75	0	0															
20110606	0	7	28	24.75	0	0															
20110606	0	8	28	24.75	0	0															
20110606	0	9	28	24.75	0	0															
20110606	0	10	28	24.75	0	0															
20110606	0	11	28	24.75	0	0															
20110606	0	12	28	24.75	0	0															
20110606	0	13	28	24.75	0	0															
20110606	0	14	28	24.75	0	0															
20110713	0	14	28	24.75	0	0															
20110721	1	5	1023	877	1.571	10.928	1.21	10.292	-1.404	8.398	1.932	11.564	-13.575	7.458			1.571	0.511	10.928	0.899	visibly rotated camera, should this be zero offsets?? It was designed to be zero, I wonder where teh 10.928 came from.
20120126	0	1	28	24.75	0	0															
20120126	0	2	28	24.75	0	0															
20120126	0	3	28	24.75	0	0															
20120126	0	4	28	24.75	0	0															
20120126	0	5	28	24.75	0	0															
20120126	0	6	28	24.75	0	0															
20120126	0	7	28	24.75	0	0															
20120126	0	8	28	24.75	0	0															
20120126	0	9	28	24.75	0	0															
20120126	0	10	28	24.75	0	0															
20120126	0	11	28	24.75	0	0															
20120126	0	12	28	24.75	0	0															
20120126	0	13	28	24.75	0	0															
20120126	0	14	28	24.75	0	0															
20120127	0	1	28	24.75	0	0															
20120127	0	3	28	24.75	0	0															
20120127	0	6	28	24.75	0	0															
20120127	0	7	28	24.75	0	0															
20120211	0	1	28	24.75	0	0															
20120211	0	2	28	24.75	0	0															
20120211	0	3	28	24.75	0	0															
20120211	0	4	28	24.75	0	0															
20120211	0	5	28	24.75	0	0															
20120211	0	6	28	24.75	0	0															
20120211	0	7	28	24.75	0	0															
20120211	0	8	28	24.75	0	0															
20120211	0	9	28	24.75	0	0															
20120211	0	10	28	24.75	0	0															
20120211	0	11	28	24.75	0	0															
20120211	0	12	28	24.75	0	0															
20120211	0	13	28	24.75	0	0															
20120211	0	14	28	24.75	0	0															
20120306	1	2	1160	1010	0	0											#DIV/0!	#NUM!	#DIV/0!	#NUM!	I think these all used the corners of the cluster!!!
20120322	2	8	1160	1010	-0.574	0.131	-0.574	0.131									-0.574	#NUM!	0.131	#NUM!	I think these all used the corners of the cluster!!!
20120322	2	9	1160	1010	-4.788	-2.51	-4.788	-2.51									-4.788	#NUM!	-2.51	#NUM!	I think these all used the corners of the cluster!!!
20120322	2	11	1160	1010	-0.703	-3.503	-0.703	-3.503									-0.703	#NUM!	-3.503	#NUM!	I think these all used the corners of the cluster!!!
20120322	2	10	1160	1010	1.651	-4.368	1.651	-4.368									1.651	#NUM!	-4.368	#NUM!	I think these all used the corners of the cluster!!!
20120410	2	0	1048	935	1.194	24.318	1.103	23.936	1.612	24.526	1.426	24.21	0.634	24.601			1.194	0.429	24.318	0.306	
20120410	2	2	1048	935	0.169	24.923	-0.41	24.869	0.13	25.63			0.789	24.271			0.169	0.6	24.923	0.681	
20120410	2	4	1048	935	0.979	24.861	1.338	24.515	1.268	24.481	0.385	25.16	0.925	25.288			0.979	0.435	24.861	0.423	
20120410	2	5	1048	935	-2.461	24.82	-2.571	23.984	-3.57	25.349	-0.115	26.247	-3.589	23.7			-2.461	1.635	24.82	1.193	
20120410	2	6	1048	935	0.743	26.166	1.122	25.68	0.676	26.277	0.119	26.513	1.057	26.193			0.743	0.46	26.166	0.351	
20120410	2	7	1048	935	-4.78	25.693	-4.871	24.228	-4.544	24.993	-6.407	24.713	-3.299	28.838			-4.78	1.279	25.693	2.121	
20120424	2	0	1048	935	0.901	23.816	2.029	24.827	0.379	23.981	1.084	23.434	0.11	23.02			0.901	0.857	23.816	0.781	
20120424	2	1	1048	935	-0.602	24.624			-0.845	24.715			-0.359	24.533			-0.602	0.344	24.624	0.129	
20120424	2	2	1048	935	-0.331	26.153	-0.087	29.156	-0.595	24.723	-0.266	25.464	-0.376	25.267			-0.331	0.212	26.153	2.027	this is for img 1364-1410
20120424	2	2	1048	935	0.307	25.936	3.752	28.271	-1.044	25.104	-0.222	26.118	-1.257	24.252			0.307	2.339	25.936	1.734	this is for img 1411-1444
20120424	2	3	1048	935	0.701	25.321			0.922	25.291	0.349	25.887	0.831	24.786			0.701	0.308	25.321	0.551	
20120515	2	1	1048	935	-0.972	24.986	-0.795	23.87	-0.723	25.497	-1.034	26.828	-1.335	23.748			-0.972	0.276	24.986	1.464	
20120515	2	3	1048	935	1.662	25.732	1.815	25.036	1.882	26.566	1.252	26.196	1.699	25.128			1.662	0.284	25.732	0.766	
20120515	2	5	1048	935	-0.514	24.893	-0.155	24.725	-0.516	25.694	-1.02	25.171	-0.367	23.981			-0.514	0.368	24.893	0.725	visibly rotated camera
20120515	2	8	1048	935	0.4	26.589	-0.015	26.399	0.938	26.704	0.129	26.68	0.549	26.572			0.4	0.431	26.589	0.139	visibly rotated camera
20120515	2	10	1048	935	1.043	24.298	1.449	23.338	1.341	23.981	-0.071	25.455	1.452	24.419			1.043	0.744	24.298	0.89	
20120530	1	1	930	751.71	-15.5	-8.949															Fixed camera mount
20120530	1	3	930	751.71	-15.5	-8.949															Fixed camera mount
20120530	1	6	930	751.71	-15.5	-8.949												0.688		0.892	Fixed camera mount
20120530	1	7	930	751.71	-15.5	-8.949															Fixed camera mount
20120530	1	10	930	751.71	-15.5	-8.949															Fixed camera mount
20120531	1	0	930	751.71	-15.5	-8.949															Fixed camera mount
20120531	1	4	930	751.71	-15.5	-8.949															Fixed camera mount
20120531	1	8	930	751.71	-15.5	-8.949															Fixed camera mount
20120531	1	9	930	751.71	-15.5	-8.949															Fixed camera mount
20120531	1	11	930	751.71	-15.5	-8.949															Fixed camera mount
20120601	1	0	930	751.71	-15.5	-8.949															Fixed camera mount
20120601	1	2	930	751.71	-15.5	-8.949															Fixed camera mount
20120601	1	9	930	751.71	-15.5	-8.949															Fixed camera mount
20120810	0	1	28	24.75	0	0															Fixed camera mount
20120810	0	2	28	24.75	0	0															Fixed camera mount
20120810	0	3	28	24.75	0	0															Fixed camera mount
20120810	0	9	28	24.75	0	0															Fixed camera mount
